                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9428,                 3.3824,                 1.8212,                0.00325,                  0.975,                0.10549,                0.02978,                 1.9008,                 3.8737,                 1.9786,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.1145,                 3.4532,                  1.865,                0.00333,                      1,                0.42107,                0.20453,                 1.2924,                 3.5979,                 1.5275,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.6927,                 2.9193,                 1.5678,                0.00333,                      1,                0.93376,                0.54236,                 1.0707,                 3.2446,                 1.1088,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.2112,                 2.1006,                  1.134,                0.01352,                      1,                0.96199,                0.58326,                 1.1175,                 2.9185,                  1.195,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.1224,                 1.8197,                 1.1184,                      1,                0.22067,                0.87061,                0.45584,                 1.2787,                 2.7933,                 1.1985,             0.00026891,             0.00026891,             0.00026891
                      6,                0.86825,                 1.3343,                 1.0195,                      1,                0.21195,                0.90047,                0.66486,                0.81704,                 2.6391,                 1.0117,             0.00032317,             0.00032317,             0.00032317
                      7,                0.95435,                 1.2845,                 1.0148,                      1,                0.35326,                0.97177,                0.77125,                0.70278,                 2.5134,                0.98394,             0.00037624,             0.00037624,             0.00037624
                      8,                0.85676,                 1.1812,                0.96027,                      1,                0.36817,                0.87991,                0.63714,                0.90667,                 2.6009,                 1.0179,             0.00042812,             0.00042812,             0.00042812
                      9,                0.89108,                 1.2589,                 1.0414,                      1,                0.34954,                0.97024,                0.74142,                0.72544,                 2.5796,                0.96427,             0.00047882,             0.00047882,             0.00047882
                     10,                0.91558,                 1.2163,                0.96711,                      1,                0.33876,                0.99451,                0.76587,                 0.7428,                 2.5906,                0.98636,             0.00052832,             0.00052832,             0.00052832
                     11,                0.86526,                 1.1527,                0.98512,                      1,                0.89595,                  0.995,                0.79119,                 0.8005,                 2.4013,                0.98991,             0.00057664,             0.00057664,             0.00057664
                     12,                0.81141,                 1.1559,                0.99786,                      1,                0.99574,                  0.995,                0.74967,                0.92052,                  2.359,                 1.0373,             0.00062377,             0.00062377,             0.00062377
                     13,                0.75678,                 1.0938,                0.92656,                0.87009,                   0.95,                0.96937,                0.67154,                0.98001,                 2.1787,                 1.0861,             0.00066971,             0.00066971,             0.00066971
                     14,                0.88158,                 1.1036,                0.96487,                0.78453,                  0.975,                0.92533,                0.57938,                 1.0775,                 2.1858,                 1.1239,             0.00071447,             0.00071447,             0.00071447
                     15,                0.78577,                 1.0392,                0.93047,                0.95126,                0.97577,                 0.9903,                0.62378,                 1.1756,                  2.017,                 1.2765,             0.00075803,             0.00075803,             0.00075803
                     16,                0.75971,                 1.0609,                0.97418,                0.92931,                      1,                0.99086,                0.74913,                 1.0343,                 1.9466,                 1.1921,             0.00080041,             0.00080041,             0.00080041
                     17,                0.78867,                 1.0861,                0.98296,                0.92656,                0.94628,                0.98472,                0.68076,                 1.0917,                 2.0156,                 1.1568,              0.0008416,              0.0008416,              0.0008416
                     18,                0.82346,                0.99174,                0.95768,                0.88888,                    0.9,                 0.9584,                0.58659,                 1.2737,                 2.0996,                 1.2054,              0.0008816,              0.0008816,              0.0008816
                     19,                0.82321,                 1.0425,                0.99054,                 0.9046,                 0.9483,                0.95365,                0.61308,                 1.2023,                 1.9391,                 1.1527,             0.00092042,             0.00092042,             0.00092042
                     20,                0.80007,                0.97921,                0.94967,                0.90781,                0.98487,                0.97185,                0.74824,                0.81262,                  1.752,                  1.026,             0.00095804,             0.00095804,             0.00095804
                     21,                0.72771,                 0.9028,                  0.982,                0.97411,                0.94095,                0.98459,                0.78224,                0.82747,                 1.8162,                 1.0288,             0.00099448,             0.00099448,             0.00099448
                     22,                 0.7755,                0.97304,                0.96409,                0.92823,                  0.975,                0.97325,                0.69297,                 1.0151,                 1.9624,                 1.0741,              0.0010297,              0.0010297,              0.0010297
                     23,                0.70785,                0.98072,                0.96457,                 0.9298,                0.99346,                0.96786,                0.69715,                 1.0364,                 1.9149,                 1.0549,              0.0010638,              0.0010638,              0.0010638
                     24,                0.71781,                0.90045,                0.93245,                      1,                0.98828,                  0.995,                0.79077,                0.85369,                 1.6559,                 1.0027,              0.0010967,              0.0010967,              0.0010967
                     25,                0.73339,                0.86696,                0.92676,                      1,                0.99744,                  0.995,                0.79188,                0.87506,                 1.4828,                 1.0419,              0.0011284,              0.0011284,              0.0011284
                     26,                0.82387,                0.91591,                0.99376,                      1,                0.99924,                  0.995,                0.80175,                 0.8197,                 1.4388,                 1.0492,              0.0011588,              0.0011588,              0.0011588
                     27,                0.76105,                0.84851,                0.96328,                 0.9941,                      1,                  0.995,                0.78777,                0.87358,                 1.3489,                0.99665,              0.0011882,              0.0011882,              0.0011882
                     28,                0.71378,                0.88282,                0.91232,                0.99845,                      1,                  0.995,                0.79498,                0.95722,                 1.4096,                 1.0315,              0.0012163,              0.0012163,              0.0012163
                     29,                 0.7101,                0.83262,                0.94613,                0.99845,                      1,                  0.995,                0.79498,                0.95722,                 1.4096,                 1.0315,              0.0012432,              0.0012432,              0.0012432
                     30,                0.75187,                0.86025,                0.91899,                0.99826,                      1,                  0.995,                0.79044,                0.92783,                 1.3559,                 1.0222,               0.001269,               0.001269,               0.001269
                     31,                0.78155,                0.82715,                0.95543,                0.97559,                0.99906,                0.99134,                0.79876,                0.88426,                 1.2278,                 1.0312,              0.0012935,              0.0012935,              0.0012935
                     32,                0.65772,                0.83291,                0.95292,                0.99712,                      1,                  0.995,                0.80342,                0.78914,                 1.1215,                0.99779,              0.0013169,              0.0013169,              0.0013169
                     33,                0.89052,                0.91091,                0.95907,                0.99712,                      1,                  0.995,                0.80342,                0.78914,                 1.1215,                0.99779,              0.0013391,              0.0013391,              0.0013391
                     34,                0.89161,                0.89478,                0.97254,                0.99295,                      1,                  0.995,                0.78068,                0.86928,                 1.0676,                 1.0374,              0.0013466,              0.0013466,              0.0013466
                     35,                0.78834,                0.93537,                 0.9674,                0.93896,                      1,                0.98512,                  0.777,                0.89761,                 1.1171,                 1.0628,              0.0013466,              0.0013466,              0.0013466
                     36,                0.80181,                0.88367,                0.95985,                0.88259,                      1,                0.98092,                 0.7873,                0.84985,                 1.1304,                0.96994,              0.0013268,              0.0013268,              0.0013268
